model,train_dataset,eval_dataset,eval_split,seed,best_epoch,params,flops,size_mb,fps,runtime_min,dice,iou,miou,accuracy,sensitivity,specificity,precision,f1,hd95,run_dir
blmnet_no_boundary,isic2018,isic2018,val,2026,38,196467,728331264,0.7494621276855469,103.66277552062076,87.53794416586558,0.8876933577791051,0.8163045284095745,0.8656387849683078,0.9473093995954356,0.909977234525004,0.9532262326691686,0.9006576421891405,0.8876933577791051,16.056519739718546,ablation_isic2018_blmnet_no_boundary_seed2026
blmnet_no_boundary,isic2018,isic2017,val,2026,38,196467,728331264,0.7494621276855469,103.66277552062076,87.71274776856104,0.8808206081623056,0.8073468908714524,0.8743250615468048,0.9595925199069124,0.9430446709413448,0.9589585844258992,0.8586490412602533,0.8808206081623056,15.076313507779544,ablation_isic2018_blmnet_no_boundary_seed2026
blmnet_no_boundary,isic2018,PH2,test,2026,38,196467,728331264,0.7494621276855469,103.66277552062076,87.78809687693914,0.9169804940730067,0.8531286356054372,0.8729010787309902,0.946922607421956,0.9728364329171006,0.9292242023860532,0.8775860141449309,0.9169804940730067,13.602730447484914,ablation_isic2018_blmnet_no_boundary_seed2026
blmnet_no_scan,isic2018,isic2018,val,2026,64,188631,671966208,0.7195701599121094,103.1994655805377,109.54129116535186,0.8887760731191116,0.818765321565971,0.8676282426546508,0.9487823070866828,0.8969278722150259,0.961444765610202,0.9164682567436911,0.8887760731191116,15.508019804781918,ablation_isic2018_blmnet_no_scan_seed2026
blmnet_no_scan,isic2018,isic2017,val,2026,64,188631,671966208,0.7195701599121094,103.1994655805377,109.70741047859192,0.8937962372787596,0.8254317826811057,0.8869842957022995,0.965157681978719,0.929281730803154,0.9732869961656966,0.8909488167748072,0.8937962372787596,13.119122205333609,ablation_isic2018_blmnet_no_scan_seed2026
blmnet_no_scan,isic2018,PH2,test,2026,64,188631,671966208,0.7195701599121094,103.1994655805377,109.78026622931162,0.9213221176856,0.8608831824398276,0.8778158941545872,0.9466822052002766,0.9604620964561944,0.9443521354976916,0.8970413884644957,0.9213221176856,13.98658330629865,ablation_isic2018_blmnet_no_scan_seed2026
blmnet,isic2018,isic2018,val,2026,100,201431,692929536,0.7683982849121094,94.79462557614512,136.7660655895869,0.8869828884213995,0.8170996774884398,0.8650715880327277,0.9463626748265244,0.907479189961188,0.949182373212818,0.904056622216356,0.8869828884213995,16.141238468301164,ablation_isic2018_blmnet_seed2026
blmnet,isic2018,isic2017,val,2026,100,201431,692929536,0.7683982849121094,94.79462557614512,136.94435495138168,0.8915475492969416,0.8241285286200973,0.8837573579866834,0.9620029625526422,0.94144232457827,0.9593902920228504,0.8772640993802178,0.8915475492969416,13.691060283134972,ablation_isic2018_blmnet_seed2026
blmnet,isic2018,PH2,test,2026,100,201431,692929536,0.7683982849121094,94.79462557614512,137.04633599122366,0.9268077781741824,0.8691335960362394,0.885890257527079,0.9542986297608118,0.9740730535366962,0.9371786642678328,0.8927115477221502,0.9268077781741824,12.223807107237343,ablation_isic2018_blmnet_seed2026
