model,train_dataset,eval_dataset,dice,iou,miou,accuracy,sensitivity,specificity,precision,hd95,params,flops,fps,best_epoch
blmnet,isic2017,PH2,0.9253186262189632,0.8671305882957842,0.883659879535224,0.9524242401123773,0.9659583635125318,0.936603754196689,0.8979662183247911,13.650169373683305,201431,692929536,95.8620218807655,54
unext,isic2017,PH2,0.9218016910519964,0.8608351679025625,0.8778919564234855,0.9497096252442172,0.9667433046176666,0.9419209836480924,0.8912625896925003,13.918177379667902,380545,1753743360,292.1189127531666,100
egeunet,isic2017,PH2,0.9169386856065976,0.8528869481232164,0.871405766831718,0.9455330657959816,0.9507040143900088,0.9381393075598324,0.8989870327400203,14.904692275973307,53374,72076544,68.70346035310479,140
malunet,isic2017,PH2,0.9165869253978188,0.852865745526006,0.871876275509488,0.9454187011719584,0.9634661745496956,0.9336025319788874,0.8867778575659042,14.423754367363262,177943,71860864,91.90774357352124,131
lbunet,isic2017,PH2,0.9140706952181334,0.8478320627652768,0.8654900052645178,0.9441455078125852,0.9643059807866418,0.923403491095696,0.8806135544159488,15.726509476803908,55865,93674496,98.936051595284,48
blmnet,isic2017,isic2017,0.876642999340349,0.8080953829501438,0.8785833029776855,0.9623396418645408,0.8941594836911739,0.9786495526055596,0.9049651953176412,14.357182355266035,201431,692929536,95.8620218807655,54
unext,isic2017,isic2017,0.8672992062327051,0.7933844281307312,0.868107238101917,0.9585131835938132,0.8887135788859712,0.9740933010570731,0.8919879505365128,16.942215379967074,380545,1753743360,292.1189127531666,100
lbunet,isic2017,isic2017,0.8659801544622409,0.7925446115425703,0.8674591952424997,0.9589516742413486,0.8903166596359714,0.971017541642645,0.8880474118671818,16.215424901444347,55865,93674496,98.936051595284,48
malunet,isic2017,isic2017,0.8658380779122812,0.7920824325308395,0.8671233727415372,0.959393099271396,0.8953595489252124,0.9704888332973104,0.8854532425581133,15.510792305505948,177943,71860864,91.90774357352124,131
egeunet,isic2017,isic2017,0.8600846224042323,0.7865709048945307,0.8658031202798355,0.9593636380709754,0.8720174936727996,0.9788788379065992,0.8984412883476193,15.52869594054738,53374,72076544,68.70346035310479,140
blmnet,isic2017,isic2018,0.8796966557170501,0.8087289645832229,0.8639050603492856,0.9465308614297304,0.8723225696674165,0.97068559293975,0.9301603559561378,16.265050617710294,201431,692929536,95.8620218807655,54
lbunet,isic2017,isic2018,0.8754995168551414,0.7996676883668895,0.8553972984770062,0.9438167420945224,0.880299524281402,0.959856389148182,0.91141450941937,17.641322200094265,55865,93674496,98.936051595284,48
malunet,isic2017,isic2018,0.8733498244090149,0.797705499800699,0.8539720285792182,0.9437425821135218,0.8835775543723656,0.9551476209762686,0.9064931883958338,17.16618999782058,177943,71860864,91.90774357352124,131
unext,isic2017,isic2018,0.87307754959567,0.7983409780465356,0.8549993304014928,0.9422275429905932,0.8761477270991025,0.962413184803256,0.9148421360808268,17.69627800414568,380545,1753743360,292.1189127531666,100
egeunet,isic2017,isic2018,0.8688106690976963,0.792288195182664,0.8529088169168109,0.9426032717866168,0.8607776889246003,0.9684797926552005,0.9235180718374724,17.499729165778973,53374,72076544,68.70346035310479,140
blmnet,isic2018,PH2,0.9233280872140424,0.8637598385805961,0.8809407767573612,0.9494623565674598,0.9673652251097165,0.940404378032354,0.8933714049847659,12.664780812238993,201431,692929536,90.76635174389004,100
egeunet,isic2018,PH2,0.919133645585649,0.8567009490447307,0.875509299051746,0.9465641784668783,0.9575425862368768,0.9443128718690394,0.8961868437100159,13.589799578274985,53374,72076544,63.33131229584,98
