model,dice,iou,miou,accuracy,sensitivity,specificity,precision,hd95,params,flops,size_mb,fps
blmnet,0.8984529120037656,0.83295336176383,0.8775978388743503,0.9542929217379692,0.9178741587627114,0.9598880885635978,0.9095456586013803,14.080711758081053,201431.0,692929536.0,0.7683982849121094,93.31418681232776
unext,0.8889535115020527,0.8183492903727582,0.8670882777679615,0.9506835686189774,0.9215613187732464,0.9551865156570511,0.8898413167692144,16.329469420420626,380545.0,1753743360.0,1.4516639709472656,291.86806458012217
malunet,0.8872756860214127,0.8156467957652894,0.8650878122118532,0.9490733049969217,0.9268584786750161,0.9520144752867115,0.8824484733719311,15.351606331215487,177943.0,71860864.0,0.6787986755371094,95.89907051617291
egeunet,0.8859925304550659,0.8155087550684947,0.8668956346186775,0.9504149651510003,0.9062354732269499,0.9620471478346619,0.9012644852206244,15.468420544571002,53374.0,72076544.0,0.20360565185546867,66.0173863244724
lbunet,0.8853416774252522,0.8133957258543182,0.862753152588629,0.9480981259178534,0.9220923572445171,0.9501210860169724,0.8841634779803403,16.31655322326544,55865.0,93674496.0,0.21385955810546867,97.09418404734913
