model,dice,iou,miou,accuracy,sensitivity,specificity,precision,hd95,params,flops,size_mb,fps
blmnet,0.9017794052975079,0.8367872673815921,0.8782397345154966,0.9542214223799927,0.940998189358718,0.9485837765011671,0.891344089772908,14.018701952891158,201431.0,692929536.0,0.7683982849121094,94.79462557614512
blmnet_no_scan,0.9012981426944903,0.8350267622289681,0.8774761441705126,0.9535407314218928,0.9288905664914582,0.95969463242453,0.9014861539943313,14.204575105471392,188631.0,671966208.0,0.7195701599121094,103.1994655805377
blmnet_no_boundary,0.8951648200048058,0.8255933516288213,0.8709549750820343,0.9512748423081013,0.9419527794611499,0.9471363398270404,0.8789642325314415,14.911854564994334,196467.0,728331264.0,0.7494621276855469,103.66277552062076
