Protocol,BLMNet,Best baseline,BaselineName
isic2017->PH2,92.53186262189632,92.18016910519964,unext
isic2017->isic2017,87.6642999340349,86.7299206232705,unext
isic2017->isic2018,87.96966557170501,87.54995168551415,lbunet
isic2018->PH2,92.33280872140423,91.91336455856491,egeunet
isic2018->isic2017,89.89319228967724,87.70155621714747,malunet
isic2018->isic2018,88.67991806354163,87.97815498527642,unext
