model,train_dataset,eval_dataset,eval_split,seed,best_epoch,params,flops,size_mb,fps,runtime_min,dice,iou,miou,accuracy,sensitivity,specificity,precision,f1,hd95,run_dir
blmnet,isic2017,isic2017,val,2026,54,201431,692929536,0.7683982849121094,95.8620218807655,79.11677759488424,0.876642999340349,0.8080953829501438,0.8785833029776855,0.9623396418645408,0.8941594836911739,0.9786495526055596,0.9049651953176412,0.876642999340349,14.357182355266035,full_isic2017_blmnet_seed2026
blmnet,isic2017,isic2018,val,2026,54,201431,692929536,0.7683982849121094,95.8620218807655,79.3479548573494,0.8796966557170501,0.8087289645832229,0.8639050603492856,0.9465308614297304,0.8723225696674165,0.97068559293975,0.9301603559561378,0.8796966557170501,16.265050617710294,full_isic2017_blmnet_seed2026
blmnet,isic2017,PH2,test,2026,54,201431,692929536,0.7683982849121094,95.8620218807655,79.45147935549419,0.9253186262189632,0.8671305882957842,0.883659879535224,0.9524242401123773,0.9659583635125318,0.936603754196689,0.8979662183247911,0.9253186262189632,13.650169373683305,full_isic2017_blmnet_seed2026
egeunet,isic2017,isic2017,val,2026,140,53374,72076544,0.2036056518554687,68.70346035310479,69.47249555190405,0.8600846224042323,0.7865709048945307,0.8658031202798355,0.9593636380709754,0.8720174936727996,0.9788788379065992,0.8984412883476193,0.8600846224042323,15.52869594054738,full_isic2017_egeunet_seed2026
egeunet,isic2017,isic2018,val,2026,140,53374,72076544,0.2036056518554687,68.70346035310479,69.63955393632253,0.8688106690976963,0.792288195182664,0.8529088169168109,0.9426032717866168,0.8607776889246003,0.9684797926552005,0.9235180718374724,0.8688106690976963,17.499729165778973,full_isic2017_egeunet_seed2026
egeunet,isic2017,PH2,test,2026,140,53374,72076544,0.2036056518554687,68.70346035310479,69.703999431928,0.9169386856065976,0.8528869481232164,0.871405766831718,0.9455330657959816,0.9507040143900088,0.9381393075598324,0.8989870327400203,0.9169386856065976,14.904692275973307,full_isic2017_egeunet_seed2026
lbunet,isic2017,isic2017,val,2026,48,55865,93674496,0.2138595581054687,98.936051595284,37.48015092213949,0.8659801544622409,0.7925446115425703,0.8674591952424997,0.9589516742413486,0.8903166596359714,0.971017541642645,0.8880474118671818,0.8659801544622409,16.215424901444347,full_isic2017_lbunet_seed2026
lbunet,isic2017,isic2018,val,2026,48,55865,93674496,0.2138595581054687,98.936051595284,37.64535014629364,0.8754995168551414,0.7996676883668895,0.8553972984770062,0.9438167420945224,0.880299524281402,0.959856389148182,0.91141450941937,0.8754995168551414,17.641322200094265,full_isic2017_lbunet_seed2026
lbunet,isic2017,PH2,test,2026,48,55865,93674496,0.2138595581054687,98.936051595284,37.71077317794164,0.9140706952181334,0.8478320627652768,0.8654900052645178,0.9441455078125852,0.9643059807866418,0.923403491095696,0.8806135544159488,0.9140706952181334,15.726509476803908,full_isic2017_lbunet_seed2026
malunet,isic2017,isic2017,val,2026,131,177943,71860864,0.6787986755371094,91.90774357352124,62.82491736014684,0.8658380779122812,0.7920824325308395,0.8671233727415372,0.959393099271396,0.8953595489252124,0.9704888332973104,0.8854532425581133,0.8658380779122812,15.510792305505948,full_isic2017_malunet_seed2026
malunet,isic2017,isic2018,val,2026,131,177943,71860864,0.6787986755371094,91.90774357352124,63.01300397316615,0.8733498244090149,0.797705499800699,0.8539720285792182,0.9437425821135218,0.8835775543723656,0.9551476209762686,0.9064931883958338,0.8733498244090149,17.16618999782058,full_isic2017_malunet_seed2026
malunet,isic2017,PH2,test,2026,131,177943,71860864,0.6787986755371094,91.90774357352124,63.088007946809135,0.9165869253978188,0.852865745526006,0.871876275509488,0.9454187011719584,0.9634661745496956,0.9336025319788874,0.8867778575659042,0.9165869253978188,14.423754367363262,full_isic2017_malunet_seed2026
unext,isic2017,isic2017,val,2026,100,380545,1753743360,1.4516639709472656,292.1189127531666,53.42866049607595,0.8672992062327051,0.7933844281307312,0.868107238101917,0.9585131835938132,0.8887135788859712,0.9740933010570731,0.8919879505365128,0.8672992062327051,16.942215379967074,full_isic2017_unext_seed2026
unext,isic2017,isic2018,val,2026,100,380545,1753743360,1.4516639709472656,292.1189127531666,53.6103135228157,0.87307754959567,0.7983409780465356,0.8549993304014928,0.9422275429905932,0.8761477270991025,0.962413184803256,0.9148421360808268,0.87307754959567,17.69627800414568,full_isic2017_unext_seed2026
unext,isic2017,PH2,test,2026,100,380545,1753743360,1.4516639709472656,292.1189127531666,53.67798241774241,0.9218016910519964,0.8608351679025625,0.8778919564234855,0.9497096252442172,0.9667433046176666,0.9419209836480924,0.8912625896925003,0.9218016910519964,13.918177379667902,full_isic2017_unext_seed2026
blmnet,isic2018,isic2018,val,2026,100,201431,692929536,0.7683982849121094,90.76635174389004,135.62952156066893,0.8867991806354163,0.8162253331490217,0.8665894436288555,0.9483470350209636,0.8901010892825311,0.95987767188468,0.9210653761931388,0.8867991806354163,15.44320215010596,full_isic2018_blmnet_seed2026
blmnet,isic2018,isic2017,val,2026,100,201431,692929536,0.7683982849121094,90.76635174389004,135.81768099069595,0.8989319228967725,0.8337800630242114,0.8919085699976904,0.9666533954327432,0.917338221312899,0.973107581722554,0.9097454008318072,0.8989319228967725,12.10388523948174,full_isic2018_blmnet_seed2026
blmnet,isic2018,PH2,test,2026,100,201431,692929536,0.7683982849121094,90.76635174389004,135.91001234849293,0.9233280872140424,0.8637598385805961,0.8809407767573612,0.9494623565674598,0.9673652251097165,0.940404378032354,0.8933714049847659,0.9233280872140424,12.664780812238993,full_isic2018_blmnet_seed2026
egeunet,isic2018,isic2018,val,2026,98,53374,72076544,0.2036056518554687,63.33131229584,75.78974087238312,0.8789667913176189,0.8056942007583918,0.8621582721878224,0.9464672768470902,0.8900639375289968,0.967381937675079,0.9099036105551308,0.8789667913176189,16.575885710280104,full_isic2018_egeunet_seed2026
egeunet,isic2018,isic2017,val,2026,98,53374,72076544,0.2036056518554687,63.33131229584,75.91820814212163,0.8720207687186009,0.7989113324074347,0.8735885324441317,0.9619583599384596,0.9063071186084168,0.9750901393422208,0.8805500641334879,0.8720207687186009,14.71172059657126,full_isic2018_egeunet_seed2026
egeunet,isic2018,PH2,test,2026,98,53374,72076544,0.2036056518554687,63.33131229584,75.98394442001978,0.919133645585649,0.8567009490447307,0.875509299051746,0.9465641784668783,0.9575425862368768,0.9443128718690394,0.8961868437100159,0.919133645585649,13.589799578274985,full_isic2018_egeunet_seed2026
lbunet,isic2018,isic2018,val,2026,106,55865,93674496,0.2138595581054687,95.25231649941428,73.39068128267924,0.8778336605393142,0.8040252913323152,0.8568402807485233,0.9432383055735029,0.9046365129893555,0.9496386948553714,0.8945998821032216,0.8778336605393142,17.488614724167473,full_isic2018_lbunet_seed2026
lbunet,isic2018,isic2017,val,2026,106,55865,93674496,0.2138595581054687,95.25231649941428,73.51736095746358,0.8683497846410759,0.7929704552271183,0.8663692493771518,0.9583237633338978,0.9303627192606956,0.9593029258542478,0.851780293803223,0.8683497846410759,15.981556697928308,full_isic2018_lbunet_seed2026
lbunet,isic2018,PH2,test,2026,106,55865,93674496,0.2138595581054687,95.25231649941428,73.58160302639007,0.9103162528356066,0.8433342458917391,0.8649628864220751,0.9401127624512634,0.962632746513036,0.9375074735056927,0.8785252162730973,0.9103162528356066,14.845891339154331,full_isic2018_lbunet_seed2026
malunet,isic2018,isic2018,val,2026,117,177943,71860864,0.6787986755371094,99.89039745882457,78.95372840166092,0.8793156119759443,0.8043511965724901,0.8577654947534021,0.9435829313675635,0.9171890832982674,0.9506303993506512,0.8821052533667963,0.8793156119759443,16.8174177579367,full_isic2018_malunet_seed2026
malunet,isic2018,isic2017,val,2026,117,177943,71860864,0.6787986755371094,99.89039745882457,79.11242700020472,0.8770155621714747,0.7999016491848864,0.8720528424357407,0.9620298414964524,0.9440985544030251,0.9630655889192232,0.8471487608396326,0.8770155621714747,14.124406473401065,full_isic2018_malunet_seed2026
malunet,isic2018,PH2,test,2026,117,177943,71860864,0.6787986755371094,99.89039745882457,79.21767573356628,0.9115481142619422,0.846974250976816,0.8677368592517324,0.940272674560638,0.95745995650153,0.939151877197928,0.8867125375053067,0.9115481142619422,14.06707708526537,full_isic2018_malunet_seed2026
unext,isic2018,isic2018,val,2026,42,380545,1753743360,1.4516639709472656,291.61721640707765,49.9340320110321,0.8797815498527642,0.8052271381490383,0.857758288691304,0.9439992243701544,0.901441379026344,0.9539166605515286,0.8982691088174226,0.8797815498527642,17.680901061242302,full_isic2018_unext_seed2026
unext,isic2018,isic2017,val,2026,42,380545,1753743360,1.4516639709472656,291.61721640707765,50.08243165016175,0.8733720578655237,0.7977214656920744,0.8697727873422404,0.9603574782152048,0.9232325067395158,0.9656145506609398,0.8637882775824567,0.8733720578655237,17.349448617796444,full_isic2018_unext_seed2026
unext,isic2018,PH2,test,2026,42,380545,1753743360,1.4516639709472656,291.61721640707765,50.1499146382014,0.9183890144136572,0.8545865643156071,0.8740000656473295,0.949294357299882,0.973089416270878,0.9331604132214169,0.8788978379055673,0.9183890144136572,14.389796079704343,full_isic2018_unext_seed2026
